run_id,portfolio_id,portfolio_name,question_id,question_category,status_code,overall_score,issues,warnings_count
cache_quality__q057,cache_quality,Cache Quality Blend,q057,risk_adjusted_returns,200,4.76,warnings_present,1
cache_rates_sensitive__q058,cache_rates_sensitive,Cache Rates Sensitive,q058,risk_adjusted_returns,200,4.76,warnings_present,1
cache_tech_core__q059,cache_tech_core,Cache Tech Core,q059,sector_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_ten_name__q060,cache_ten_name,Cache Ten Name,q060,sector_diversification,200,4.76,warnings_present,1
cache_all_weatherish__q061,cache_all_weatherish,Cache All-Weather-ish,q061,sector_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_balanced__q062,cache_balanced,Cache Balanced,q062,sector_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_barbell__q063,cache_barbell,Cache Barbell,q063,sector_diversification,200,4.76,warnings_present,1
cache_big_tech_plus__q064,cache_big_tech_plus,Cache Big Tech Plus,q064,sector_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_defensive_growth__q065,cache_defensive_growth,Cache Defensive Growth,q065,benchmark_underperformance,200,4.66,warnings_present,1
cache_drawdown_test__q066,cache_drawdown_test,Cache Drawdown Test,q066,benchmark_underperformance,200,4.66,warnings_present,1
cache_energy_finance__q067,cache_energy_finance,Cache Energy + Finance,q067,benchmark_underperformance,200,4.66,warnings_present,1
cache_energy_hedge__q068,cache_energy_hedge,Cache Energy Hedge,q068,benchmark_underperformance,200,4.66,warnings_present,1
cache_five_name__q069,cache_five_name,Cache Five Name,q069,drawdown_risk,200,4.66,warnings_present,1
cache_growth_barbell__q070,cache_growth_barbell,Cache Growth Barbell,q070,drawdown_risk,200,4.14,planner_mismatch;warnings_present,1
cache_health_focus__q071,cache_health_focus,Cache Healthcare Focus,q071,drawdown_risk,200,4.66,warnings_present,1
cache_health_quality__q072,cache_health_quality,Cache Health Quality,q072,drawdown_risk,200,4.66,warnings_present,1
cache_high_beta__q073,cache_high_beta,Cache High Beta,q073,macro_sensitivity,200,4.71,warnings_present,1
cache_macro_mix__q074,cache_macro_mix,Cache Macro Mix,q074,macro_sensitivity,200,4.71,warnings_present,1
cache_momentum__q075,cache_momentum,Cache Momentum,q075,macro_sensitivity,200,4.71,warnings_present,1
cache_platforms__q076,cache_platforms,Cache Platforms,q076,macro_sensitivity,200,4.71,warnings_present,1
